# y+ ()       
# Time        	patch         	min           	max           	average       
2000          	WALL	1.381996e-04	2.071301e+00	3.026981e-01
2000          	CUBE1	2.086602e-04	2.442691e+00	2.356469e-01
2000          	CUBE2	1.561776e-04	2.233297e+00	2.162404e-01
