# y+ ()       
# Time        	patch         	min           	max           	average       
2000          	WALL	7.919306e-05	2.080104e+00	3.025482e-01
2000          	CUBE1	8.967074e-05	2.285671e+00	2.224633e-01
2000          	CUBE2	3.040409e-04	2.312691e+00	2.175825e-01
