# y+ ()       
# Time        	patch         	min           	max           	average       
2000          	WALL	2.555836e-04	2.220222e+00	2.724246e-01
2000          	CUBE1	2.888321e-04	2.501630e+00	1.727914e-01
2000          	CUBE2	2.986346e-04	1.665589e+00	1.246449e-01
