Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.000435762648	0.020784397	293.199873	293.199873	293.199873	293.199873	0	0	0	0	0	0	3
2	1	0.000694946109	0.0415687939	293.199816	293.199852	293.199816	293.199873	2.1210687e-05	0	0	0	0	0	3
3	1	0.000958072856	0.0623531909	293.199777	293.199831	293.199777	293.199873	4.19129888e-05	0	0	0	0	0	3
4	1	0.00122223014	0.0831375879	293.199738	293.199811	293.199738	293.199873	6.19639335e-05	0	0	0	0	0	3
5	1	0.00149060839	0.103921985	293.199692	293.19979	293.199692	293.199873	8.34280251e-05	0	0	0	0	0	3
6	1	0.00192648426	0.124706382	293.199621	293.199752	293.199621	293.199873	0.000121576976	0	0	0	0	0	3
7	1	0.00240413284	0.145490779	293.199536	293.199709	293.199536	293.199873	0.000164305392	0	0	0	0	0	3
8	1	0.00289740776	0.166275176	293.199456	293.199666	293.199456	293.199873	0.000207419622	0	0	0	0	0	3
9	1	0.00339562587	0.187059573	293.199367	293.199622	293.199367	293.199873	0.000251284861	0	0	0	0	0	3
10	2	0.00389630129	0.20784397	293.199286	293.199579	293.199286	293.199873	0.000294483417	0	0	0	0	0	3
11	2	0.00464909708	0.228628367	293.199186	293.199515	293.199186	293.199873	0.000358109383	0	0	0	0	0	3
12	2	0.00540383914	0.249412764	293.199091	293.199456	293.199091	293.199873	0.00041728299	0	0	0	0	0	3
13	2	0.00615959208	0.270197161	293.198989	293.199399	293.198989	293.199873	0.000474505844	0	0	0	0	0	3
14	2	0.00691549579	0.290981558	293.198898	293.199344	293.198898	293.199873	0.000529195176	0	0	0	0	0	3
15	2	0.00767178683	0.311765955	293.198795	293.19929	293.198795	293.199873	0.000583337394	0	0	0	0	0	3
16	2	0.00880526818	0.332550352	293.19865	293.199207	293.19865	293.199873	0.000665725905	0	0	0	0	0	3
17	2	0.00993840152	0.353334749	293.19851	293.199128	293.19851	293.199873	0.000745267492	0	0	0	0	0	3
18	2	0.01	0.374119146	293.198507	293.199124	293.198507	293.199873	0.000749090317	0	0	0	0	0	3
19	2	0.0111302023	0.394903542	293.198265	293.199037	293.198265	293.199873	0.000836280631	0	0	0	0	0	3
20	2	0.0122607996	0.415687939	293.198213	293.198961	293.198213	293.199873	0.00091224619	0	0	0	0	0	3
21	2	0.0139629443	0.436472336	293.197999	293.198844	293.197999	293.199873	0.0010295608	0	0	0	0	0	3
