Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
57	6	0.116703216	1.18471063	101322.944	101322.713	101322.314	101323.574	1.2600527	0.145758097	0	11.5	0	0	3
58	6	0.12	1.20549502	101323.096	101322.719	101322.314	101323.52	1.20577637	0.145758097	0	12	0	0	3
59	6	0.123356498	1.22627942	101323.248	101322.708	101322.314	101323.393	1.07848928	0.145758097	0	13.5	0	0	3
60	6	0.126715239	1.24706382	101323.393	101322.708	101322.314	101323.393	1.07931355	0.145758097	0	13.5	0	0	3
61	6	0.13	1.26784822	101323.533	101322.719	101322.314	101323.533	1.2192274	0.145758097	0	11.9	0	0	3
62	6	0.133357902	1.28863261	101323.647	101322.756	101322.314	101323.647	1.33288317	0.145758097	0	10.9	0	0	3
63	6	0.136716322	1.30941701	101323.739	101322.781	101322.314	101323.739	1.42533188	0.145758097	0	10.2	0	0	3
64	6	0.14	1.33020141	101323.797	101322.811	101322.314	101323.797	1.4687399	0.145758097	0	9.9	0	0	3
65	6	0.143361783	1.3509858	101323.828	101322.849	101322.314	101323.828	1.3558153	0.145758097	0	10.7	0	0	3
66	6	0.146722053	1.3717702	101323.82	101322.892	101322.314	101323.828	1.23647462	0.145758097	0	11.7	0	0	3
67	6	0.15	1.3925546	101323.798	101322.936	101322.314	101323.828	1.16321627	0.145758097	0	12.5	0	0	3
68	7	0.153355862	1.41333899	101323.754	101322.982	101322.314	101323.828	1.03071325	0.145758097	0	14.1	0	0	3
69	7	0.156709761	1.43412339	101323.707	101323.03	101322.314	101323.828	0.961639816	0.145758097	0	15.1	0	0	3
70	7	0.16	1.45490779	101323.67	101323.078	101322.314	101323.828	0.816607505	0.145758097	0	17.8	0	0	3
71	7	0.163352765	1.47569219	101323.632	101323.127	101322.314	101323.828	0.733843849	0.145758097	0	19.8	0	0	3
72	7	0.166706756	1.49647658	101323.602	101323.177	101322.314	101323.828	0.613441629	0.145758097	0	23.7	0	0	3
73	7	0.17	1.51726098	101323.586	101323.228	101322.314	101323.828	0.533530581	0.145758097	0	27.3	0	0	3
74	7	0.173360267	1.53804538	101323.579	101323.278	101322.321	101323.828	0.570289094	0.145758097	0	25.5	0	0	3
75	7	0.176720361	1.55882977	101323.582	101323.329	101322.35	101323.828	0.620988692	0.145758097	0	23.4	0	0	3
76	7	0.18	1.57961417	101323.595	101323.379	101322.405	101323.828	0.670862577	0.145758097	0	21.7	0	0	3
77	7	0.183351967	1.60039857	101323.627	101323.427	101322.468	101323.828	0.719376821	0.145758097	0	20.2	0	0	3
78	7	0.186701668	1.62118296	101323.653	101323.475	101322.566	101323.828	0.766997983	0.145758097	0	19	0	0	3
79	8	0.19	1.64196736	101323.696	101323.52	101322.678	101323.828	0.812310216	0.145758097	0	17.9	0	0	3
80	8	0.193351267	1.66275176	101323.734	101323.562	101322.796	101323.828	0.854238316	0.145758097	0	17	0	0	3
81	8	0.196706715	1.68353615	101323.764	101323.601	101322.944	101323.828	0.884632061	0.145758097	0	16.4	0	0	3
82	8	0.2	1.70432055	101323.794	101323.635	101323.096	101323.828	0.731988908	0.145758097	0	19.9	0	0	3
83	8	0.203357123	1.72510495	101323.804	101323.663	101323.248	101323.828	0.580225283	0.145758097	0	25.1	0	0	3
84	8	0.206706952	1.74588935	101323.836	101323.687	101323.393	101323.836	0.442171866	0.145758097	0	32.9	0	0	3
85	8	0.21	1.76667374	101323.816	101323.704	101323.533	101323.836	0.302258014	0.145758097	0	48.2	0	0	3
86	8	0.213335787	1.78745814	101323.791	101323.714	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
87	8	0.216670134	1.80824254	101323.792	101323.72	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
88	8	0.220005719	1.82902693	101323.792	101323.722	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
89	8	0.223345746	1.84981133	101323.78	101323.721	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
90	8	0.226693065	1.87059573	101323.768	101323.719	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
91	9	0.23	1.89138012	101323.748	101323.716	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
92	9	0.233360552	1.91216452	101323.727	101323.713	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
93	9	0.236708904	1.93294892	101323.689	101323.71	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
94	9	0.24	1.95373332	101323.678	101323.709	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
95	9	0.243333859	1.97451771	101323.673	101323.709	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
96	9	0.246668111	1.99530211	101323.686	101323.712	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
97	9	0.25000689	2.01608651	101323.718	101323.716	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
98	9	0.253354523	2.0368709	101323.735	101323.722	101323.579	101323.836	0.256248118	0.145758097	0	56.8	0	0	3
99	9	0.256713946	2.0576553	101323.732	101323.728	101323.582	101323.836	0.25400082	0.145758097	0	57.3	0	0	3
100	9	0.26	2.0784397	101323.737	101323.735	101323.595	101323.836	0.240580688	0.145758097	0	60.5	0	0	3
101	10	0.263336737	2.09922409	101323.739	101323.74	101323.627	101323.836	0.208765454	0.145758097	0	69.8	0	0	3
102	10	0.266661533	2.12000849	101323.729	101323.744	101323.653	101323.836	0.182653014	0.145758097	0	79.8	0	0	3
103	10	0.269979079	2.14079289	101323.736	101323.748	101323.673	101323.836	0.162551604	0.145758097	0	89.6	0	0	3
104	10	0.27	2.16157729	101321.102	101323.749	101321.102	101323.836	0.187240773	0.145758097	0	77.8	0	0	3
105	10	0.273318462	2.18236168	101323.587	101323.743	101321.102	101323.836	0.148318464	0.145758097	0	98.2	0	0	3
106	10	0.276655997	2.20314608	101323.885	101323.748	101321.102	101323.885	0.114244161	0.145758097	0	100	0	0	3
107	10	0.280015226	2.22393048	101323.668	101323.743	101321.102	101323.885	0.0861245819	0.145758097	0	100	0	0	3
108	10	0.283366113	2.24471487	101323.804	101323.743	101321.102	101323.885	0.0624817804	0.145758097	0	100	0	0	3
109	10	0.286698744	2.26549927	101323.555	101323.731	101321.102	101323.885	0.0455287893	0.145758097	0	100	0	0	3
110	10	0.290011246	2.28628367	101323.903	101323.735	101321.102	101323.903	0.0398903471	0.145758097	0	100	0	0	3
111	10	0.293316243	2.30706806	101323.653	101323.729	101321.102	101323.903	0.0398903471	0.145758097	0	100	0	0	3
112	10	0.296615716	2.32785246	101323.718	101323.726	101321.102	101323.903	0.0398903471	0.145758097	0	100	0	0	3
113	11	0.29991906	2.34863686	101323.648	101323.72	101321.102	101323.903	0.0398903471	0.145758097	0	100	0	0	3
114	11	0.3	2.36942125	101324.551	101323.718	101321.102	101324.551	0.0398903471	0.145758097	0	100	0	0	3
115	11	0.303317458	2.39020565	101323.844	101323.722	101321.102	101324.551	0.0398903471	0.145758097	0	100	0	0	3
116	11	0.306674967	2.41099005	101323.754	101323.722	101321.102	101324.551	0.0398903471	0.145758097	0	100	0	0	3
117	11	0.31001576	2.43177445	101323.571	101323.715	101321.102	101324.551	0.0398903471	0.145758097	0	100	0	0	3
118	11	0.313317655	2.45255884	101323.798	101323.72	101321.102	101324.551	0.0398903471	0.145758097	0	100	0	0	3
119	11	0.316593308	2.47334324	101323.691	101323.72	101321.102	101324.551	0.0397779483	0.145758097	0	100	0	0	3
120	11	0.319852138	2.49412764	101323.536	101323.715	101321.102	101324.551	0.0375837383	0.145758097	0	100	0	0	3
121	11	0.32	2.51491203	101322.01	101323.712	101321.102	101324.551	0.0367807036	0.145758097	0	100	0	0	3
122	11	0.323251163	2.53569643	101323.467	101323.701	101321.102	101324.551	0.0479016578	0.145758097	0	100	0	0	3
123	11	0.326509093	2.55648083	101324.012	101323.714	101321.102	101324.551	0.0479016578	0.145758097	0	100	0	0	3
124	11	0.32978221	2.57726522	101324.083	101323.729	101321.102	101324.551	0.0479016578	0.145758097	0	100	0	0	3
125	11	0.33	2.59804962	101323.813	101323.729	101321.102	101324.551	0.0479016578	0.145758097	0	100	0	0	3
