Iteration	CPUTime	PhysTime	Travels
1	1	0.000435762648	0.020784397
2	1	0.000694946109	0.0415687939
3	1	0.000958072856	0.0623531909
4	1	0.00122223014	0.0831375879
5	1	0.00149060839	0.103921985
6	1	0.00192648426	0.124706382
7	1	0.00240413284	0.145490779
8	1	0.00289740776	0.166275176
9	1	0.00339562587	0.187059573
10	2	0.00389630129	0.20784397
11	2	0.00464909708	0.228628367
12	2	0.00540383914	0.249412764
13	2	0.00615959208	0.270197161
14	2	0.00691549579	0.290981558
15	2	0.00767178683	0.311765955
16	2	0.00880526818	0.332550352
17	2	0.00993840152	0.353334749
18	2	0.01	0.374119146
19	2	0.0111302023	0.394903542
20	2	0.0122607996	0.415687939
21	2	0.0139629443	0.436472336
22	2	0.0156618989	0.457256733
23	3	0.0173868578	0.47804113
24	3	0.0191057156	0.498825527
25	3	0.02	0.519609924
26	3	0.0225862146	0.540394321
27	3	0.0250976506	0.561178718
28	3	0.0275979598	0.581963115
29	3	0.03	0.602747512
30	3	0.0324913024	0.623531909
31	3	0.035771982	0.644316306
32	3	0.0390544055	0.665100703
33	3	0.04	0.6858851
34	4	0.043295339	0.706669497
35	4	0.0465964063	0.727453894
36	4	0.049901755	0.748238291
37	4	0.05	0.769022688
38	4	0.0533122035	0.789807085
39	4	0.0566467003	0.810591482
40	4	0.0599833201	0.831375879
41	4	0.0633241709	0.852160276
42	4	0.066668623	0.872944673
43	4	0.0700166658	0.89372907
44	5	0.0733664131	0.914513467
45	5	0.0767177585	0.935297864
46	5	0.08	0.956082261
47	5	0.0833526331	0.976866658
48	5	0.0867053384	0.997651055
49	5	0.09	1.01843545
50	5	0.0933517269	1.03921985
51	5	0.0967025614	1.06000425
52	5	0.1	1.08078864
53	5	0.103349804	1.10157304
54	5	0.106699362	1.12235744
55	5	0.11	1.14314183
56	6	0.113350899	1.16392623
57	6	0.116703216	1.18471063
58	6	0.12	1.20549502
59	6	0.123356498	1.22627942
60	6	0.126715239	1.24706382
61	6	0.13	1.26784822
62	6	0.133357902	1.28863261
63	6	0.136716322	1.30941701
64	6	0.14	1.33020141
65	6	0.143361783	1.3509858
66	6	0.146722053	1.3717702
67	6	0.15	1.3925546
68	7	0.153355862	1.41333899
69	7	0.156709761	1.43412339
70	7	0.16	1.45490779
71	7	0.163352765	1.47569219
72	7	0.166706756	1.49647658
73	7	0.17	1.51726098
74	7	0.173360267	1.53804538
75	7	0.176720361	1.55882977
76	7	0.18	1.57961417
77	7	0.183351967	1.60039857
78	7	0.186701668	1.62118296
79	8	0.19	1.64196736
80	8	0.193351267	1.66275176
81	8	0.196706715	1.68353615
82	8	0.2	1.70432055
83	8	0.203357123	1.72510495
84	8	0.206706952	1.74588935
85	8	0.21	1.76667374
86	8	0.213335787	1.78745814
87	8	0.216670134	1.80824254
88	8	0.220005719	1.82902693
89	8	0.223345746	1.84981133
90	8	0.226693065	1.87059573
91	9	0.23	1.89138012
92	9	0.233360552	1.91216452
93	9	0.236708904	1.93294892
94	9	0.24	1.95373332
95	9	0.243333859	1.97451771
96	9	0.246668111	1.99530211
97	9	0.25000689	2.01608651
98	9	0.253354523	2.0368709
99	9	0.256713946	2.0576553
100	9	0.26	2.0784397
101	10	0.263336737	2.09922409
102	10	0.266661533	2.12000849
103	10	0.269979079	2.14079289
104	10	0.27	2.16157729
105	10	0.273318462	2.18236168
106	10	0.276655997	2.20314608
107	10	0.280015226	2.22393048
108	10	0.283366113	2.24471487
109	10	0.286698744	2.26549927
110	10	0.290011246	2.28628367
111	10	0.293316243	2.30706806
112	10	0.296615716	2.32785246
113	11	0.29991906	2.34863686
114	11	0.3	2.36942125
115	11	0.303317458	2.39020565
116	11	0.306674967	2.41099005
117	11	0.31001576	2.43177445
118	11	0.313317655	2.45255884
119	11	0.316593308	2.47334324
120	11	0.319852138	2.49412764
121	11	0.32	2.51491203
122	11	0.323251163	2.53569643
123	11	0.326509093	2.55648083
124	11	0.32978221	2.57726522
125	11	0.33	2.59804962
126	12	0.333302835	2.61883402
127	12	0.336650059	2.63961842
128	12	0.339979887	2.66040281
129	12	0.34	2.68118721
130	12	0.343297186	2.70197161
131	12	0.344891775	2.722756
