Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0.000435762648	0.020784397	0	0	0	0	0	0	0	1000	0	0	3
2	1	0.000694946109	0.0415687939	0	0	0	0	0	0	0	1000	0	0	3
3	1	0.000958072856	0.0623531909	0	0	0	0	0	0	0	1000	0	0	3
4	1	0.00122223014	0.0831375879	0	0	0	0	0	0	0	1000	0	0	3
5	1	0.00149060839	0.103921985	0	0	0	0	0	0	0	1000	0	0	3
6	1	0.00192648426	0.124706382	0	0	0	0	0	0	0	1000	0	0	3
7	1	0.00240413284	0.145490779	0	0	0	0	0	0	0	1000	0	0	3
8	1	0.00289740776	0.166275176	0	0	0	0	0	0	0	1000	0	0	3
9	1	0.00339562587	0.187059573	0	0	0	0	0	0	0	1000	0	0	3
10	2	0.00389630129	0.20784397	0	0	0	0	0	0	0	1000	0	0	3
11	2	0.00464909708	0.228628367	0	0	0	0	0	0	0	1000	0	0	3
12	2	0.00540383914	0.249412764	0	0	0	0	0	0	0	1000	0	0	3
13	2	0.00615959208	0.270197161	0	0	0	0	0	0	0	1000	0	0	3
14	2	0.00691549579	0.290981558	0	0	0	0	0	0	0	1000	0	0	3
15	2	0.00767178683	0.311765955	0	0	0	0	0	0	0	1000	0	0	3
16	2	0.00880526818	0.332550352	0	0	0	0	0	0	0	1000	0	0	3
17	2	0.00993840152	0.353334749	0	0	0	0	0	0	0	1000	0	0	3
18	2	0.01	0.374119146	0	0	0	0	0	0	0	1000	0	0	3
19	2	0.0111302023	0.394903542	0	0	0	0	0	0	0	1000	0	0	3
20	2	0.0122607996	0.415687939	0	0	0	0	0	0	0	1000	0	0	3
21	2	0.0139629443	0.436472336	0	0	0	0	0	0	0	1000	0	0	3
22	2	0.0156618989	0.457256733	0	0	0	0	0	0	0	1000	0	0	3
23	3	0.0173868578	0.47804113	0	0	0	0	0	0	0	1000	0	0	3
24	3	0.0191057156	0.498825527	0	0	0	0	0	0	0	1000	0	0	3
25	3	0.02	0.519609924	0	0	0	0	0	0	0	1000	0	0	3
26	3	0.0225862146	0.540394321	0	0	0	0	0	0	0	1000	0	0	3
27	3	0.0250976506	0.561178718	0	0	0	0	0	0	0	1000	0	0	3
28	3	0.0275979598	0.581963115	0	0	0	0	0	0	0	1000	0	0	3
29	3	0.03	0.602747512	0	0	0	0	0	0	0	1000	0	0	3
30	3	0.0324913024	0.623531909	0	0	0	0	0	0	0	1000	0	0	3
31	3	0.035771982	0.644316306	0	0	0	0	0	0	0	1000	0	0	3
32	3	0.0390544055	0.665100703	0	0	0	0	0	0	0	1000	0	0	3
33	3	0.04	0.6858851	0	0	0	0	0	0	0	1000	0	0	3
34	4	0.043295339	0.706669497	0	0	0	0	0	0	0	1000	0	0	3
35	4	0.0465964063	0.727453894	0	0	0	0	0	0	0	1000	0	0	3
36	4	0.049901755	0.748238291	0	0	0	0	0	0	0	1000	0	0	3
37	4	0.05	0.769022688	0	0	0	0	0	0	0	1000	0	0	3
38	4	0.0533122035	0.789807085	0	0	0	0	0	0	0	1000	0	0	3
39	4	0.0566467003	0.810591482	0	0	0	0	0	0	0	1000	0	0	3
40	4	0.0599833201	0.831375879	0	0	0	0	0	0	0	1000	0	0	3
41	4	0.0633241709	0.852160276	0	0	0	0	0	0	0	1000	0	0	3
42	4	0.066668623	0.872944673	0	0	0	0	0	0	0	1000	0	0	3
43	4	0.0700166658	0.89372907	0	0	0	0	0	0	0	1000	0	0	3
44	5	0.0733664131	0.914513467	0	0	0	0	0	0	0	1000	0	0	3
45	5	0.0767177585	0.935297864	0	0	0	0	0	0	0	1000	0	0	3
46	5	0.08	0.956082261	0	0	0	0	0	0	0	1000	0	0	3
47	5	0.0833526331	0.976866658	0	0	0	0	0	0	0	1000	0	0	3
48	5	0.0867053384	0.997651055	0	0	0	0	0	0	0	1000	0	0	3
49	5	0.09	1.01843545	0	0	0	0	0	0.001	0	1000	0	0	3
50	5	0.0933517269	1.03921985	0	0	0	0	0	0.001	0	1000	0	0	3
51	5	0.0967025614	1.06000425	0	0	0	0	0	0.001	0	1000	0	0	3
52	5	0.1	1.08078864	0	0	0	0	0	0.001	0	1000	0	0	3
53	5	0.103349804	1.10157304	0	0	0	0	0	0.001	0	1000	0	0	3
54	5	0.106699362	1.12235744	0	0	0	0	0	0.001	0	1000	0	0	3
