Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
48	4	0.0473863179	0.529724744	293.198634	293.199339	293.198634	293.199955	0.000631410286	0	0	0	0	0	3
49	4	0.0491223558	0.540760677	293.198577	293.19931	293.198577	293.199952	0.000656308481	0	0	0	0	0	3
50	4	0.0508665432	0.551796609	293.198515	293.199281	293.198515	293.199949	0.000682321615	0	0	0	0	0	3
51	5	0.0526130332	0.562832541	293.198455	293.199252	293.198455	293.199943	0.000707200662	0	0	0	0	0	3
52	5	0.0543676904	0.573868473	293.198396	293.199221	293.198396	293.199937	0.000733598233	0	0	0	0	0	3
53	5	0.0561285782	0.584904405	293.198336	293.19919	293.198336	293.19993	0.000760717294	0	0	0	0	0	3
54	5	0.0578955501	0.595940337	293.198274	293.199158	293.198274	293.199922	0.000788333302	0	0	0	0	0	3
55	5	0.0596638324	0.60697627	293.198216	293.199126	293.198216	293.199915	0.000816166364	0	0	0	0	0	3
56	5	0.061438742	0.618012202	293.198157	293.199094	293.198157	293.199911	0.000843144121	0	0	0	0	0	3
57	5	0.0632186171	0.629048134	293.198099	293.19906	293.198099	293.199907	0.000872686145	0	0	0	0	0	3
58	5	0.0650031858	0.640084066	293.198042	293.199026	293.198042	293.199901	0.000902757884	0	0	0	0	0	3
59	5	0.0667920823	0.651119998	293.197985	293.198992	293.197985	293.199896	0.00093316382	0	0	0	0	0	3
60	5	0.0685850152	0.662155931	293.197929	293.198958	293.197929	293.199889	0.000963728097	0	0	0	0	0	3
61	5	0.0703817059	0.673191863	293.197874	293.198924	293.197874	293.199879	0.000992388223	0	0	0	0	0	3
62	5	0.0721819038	0.684227795	293.19782	293.198887	293.19782	293.199868	0.00102371327	0	0	0	0	0	3
63	6	0.0739854231	0.695263727	293.197767	293.19885	293.197767	293.199857	0.00105502602	0	0	0	0	0	3
